player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
106795,/player/106795/gianluca-pegolo/240002,24.0,2.0,2023-09-22,G. Pegolo,Gianluca Pegolo,GK,69,69,150000.0,4000.0,42,1981-03-25,184,76,111974.0,Sassuolo,31.0,Serie A,1.0,SUB,25.0,,2013-09-02,2024.0,27,Italy,,,,Left,2,1,1,Medium/Medium,Normal (170-185),No,255000.0,,Far Throw,,,,,,,13,18,15,35,16,11,11,18,21,20,44,42,50,69,47,45,57,33,54,12,33,20,12,33,13,55.0,8,12,11,66,68,60,70,69,43.0,28+2,28+2,28+2,26,27,27,27,26,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,25+2,26+2,26+2,26+2,25+2,25+2,25+2,25+2,25+2,25+2,68+1
107084,/player/107084/michael-langer/240002,24.0,2.0,2023-09-22,M. Langer,Michael Langer,GK,65,65,80000.0,2000.0,38,1985-01-06,195,93,34.0,Schalke 04,20.0,2. Bundesliga,2.0,RES,34.0,,2017-08-04,2024.0,4,Austria,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,128000.0,,,,,,,,,13,14,14,29,11,11,12,12,25,21,31,32,22,62,34,45,64,32,76,13,35,15,15,44,13,41.0,19,12,13,63,64,60,67,65,31.0,27+2,27+2,27+2,23,26,26,26,23,27+2,27+2,27+2,25+2,28+2,28+2,28+2,25+2,23+2,27+2,27+2,27+2,23+2,23+2,27+2,27+2,27+2,23+2,64+1
110606,/player/110606/alan-mannus/240002,24.0,2.0,2023-09-22,A. Mannus,Alan Mannus,GK,64,64,60000.0,500.0,41,1982-05-19,188,94,306.0,Shamrock Rovers,65.0,Premier Division,1.0,SUB,1.0,,2018-07-01,2023.0,35,Northern Ireland,,,,Right,3,1,1,Medium/Medium,Stocky (185+),No,93000.0,,,,,,,,,13,11,11,11,14,13,14,16,30,22,30,45,50,60,60,45,56,30,64,12,34,17,19,54,17,58.0,22,20,13,63,66,60,65,60,36.0,26+2,26+2,26+2,24,26,26,26,24,27+2,27+2,27+2,25+2,27+2,27+2,27+2,25+2,23+2,27+2,27+2,27+2,23+2,24+2,27+2,27+2,27+2,24+2,63+1
112373,/player/112373/arnaud-balijon/240002,24.0,2.0,2023-09-22,A. Balijon,Arnaud Balijon,GK,63,63,50000.0,600.0,40,1983-06-17,183,84,111276.0,Dunkerque,17.0,Ligue 2,2.0,GK,16.0,,2022-07-01,2024.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,88000.0,,,,,,,,,10,10,14,26,10,11,12,9,24,18,34,36,43,59,42,44,55,30,59,11,23,15,9,27,13,54.0,12,12,13,60,62,59,64,62,35.0,24+2,24+2,24+2,21,23,23,23,21,23+2,23+2,23+2,22+2,23+2,23+2,23+2,22+2,22+2,24+2,24+2,24+2,22+2,22+2,23+2,23+2,23+2,22+2,62+1
118794,/player/118794/andy-lonergan/240002,24.0,2.0,2023-09-22,A. Lonergan,Andrew Lonergan,GK,58,58,25000.0,3000.0,39,1983-10-19,192,87,7.0,Everton,13.0,Premier League,1.0,RES,31.0,,2021-08-20,2024.0,14,England,,,,Left,1,1,1,Medium/Medium,Normal (185+),No,48000.0,,,,,,,,,12,14,15,29,15,11,12,14,27,24,40,41,50,50,42,35,55,28,56,13,28,12,8,32,16,30.0,14,15,14,56,61,47,62,54,40.0,24+2,24+2,24+2,24,24,24,24,24,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,23+2,25+2,25+2,25+2,23+2,23+2,24+2,24+2,24+2,23+2,57+1
120533,/player/120533/kepler-laveran-lima-ferreira/240002,24.0,2.0,2023-09-22,Pepe,Kléper Laveran de Lima Ferreira,CB,81,81,,12000.0,40,1983-02-26,188,79,236.0,Porto,308.0,Liga Portugal,1.0,RCB,3.0,,2019-01-08,2024.0,38,Portugal,1354.0,CB,3.0,Right,3,2,4,Medium/High,Lean (185+),Yes,,,"Jockey, Anticipate, Slide Tackle, Bruiser, Aerial",75.0,51.0,60.0,61.0,81.0,87.0,46,46,81,73,23,58,44,47,75,60,73,77,62,81,48,63,91,82,86,56,94,79,40,48,57,80.0,83,82,80,8,15,5,9,10,,61+3,61+3,61+3,59,60,60,60,59,60+3,60+3,60+3,62+3,66+3,66+3,66+3,62+3,73+3,77+3,77+3,77+3,73+3,75+3,81,81,81,75+3,18+3
132740,/player/132740/jesper-hansen/240002,24.0,2.0,2023-09-22,J. Hansen,Jesper Hansen,GK,71,71,210000.0,5000.0,38,1985-03-31,188,78,271.0,AGF,1.0,Superliga,1.0,SUB,1.0,,2021-07-01,2024.0,13,Denmark,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,273000.0,,,,,,,,,18,13,13,52,11,24,16,12,53,35,41,42,49,74,62,52,62,41,65,13,32,27,12,68,20,66.0,26,14,15,70,69,69,71,70,41.0,32+2,32+2,32+2,34,36,36,36,34,41+2,41+2,41+2,37+2,43+2,43+2,43+2,37+2,33+2,39+2,39+2,39+2,33+2,31+2,31+2,31+2,31+2,31+2,70+1
135587,/player/135587/niki-maenpaa/240002,24.0,2.0,2023-09-22,N. Mäenpää,Niki Emil Antonio Mäenpää,GK,65,65,80000.0,500.0,38,1985-01-23,191,86,100325.0,HJK,322.0,Veikkausliiga,1.0,RES,85.0,,2023-08-04,2023.0,17,Finland,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,172000.0,,,,,,,,,16,12,12,31,12,17,12,13,20,16,33,40,55,65,30,46,57,38,62,14,32,16,15,33,14,39.0,15,9,12,66,66,61,64,62,36.0,27+2,27+2,27+2,25,26,26,26,25,27+2,27+2,27+2,26+2,26+2,26+2,26+2,26+2,25+2,25+2,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,64+1
137552,/player/137552/boy-waterman/240002,24.0,2.0,2023-09-22,B. Waterman,Boy Waterman,GK,68,68,130000.0,3000.0,39,1984-01-24,188,83,247.0,PSV,10.0,Eredivisie,1.0,RES,24.0,,2022-07-01,2024.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,182000.0,,,,,,,,,15,11,14,38,15,14,14,14,31,32,48,45,52,65,42,51,68,27,72,20,30,22,12,37,25,51.0,19,17,14,65,69,68,70,66,47.0,30+2,30+2,30+2,29,30,30,30,29,31+2,31+2,31+2,30+2,31+2,31+2,31+2,30+2,28+2,31+2,31+2,31+2,28+2,28+2,30+2,30+2,30+2,28+2,67+1
137786,/player/137786/valerio-di-cesare/240002,24.0,2.0,2023-09-22,V. Di Cesare,Valerio Di Cesare,CB,70,70,,2000.0,40,1983-05-23,187,75,1848.0,Bari 1908,32.0,Serie B,2.0,RCB,6.0,,2018-09-13,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Normal (185+),No,,,Slide Tackle,34.0,47.0,33.0,55.0,72.0,71.0,20,48,74,45,22,54,20,45,37,60,36,32,31,66,49,58,72,51,79,53,75,68,22,22,25,68.0,69,75,73,8,11,12,10,9,,51+2,51+2,51+2,43,46,46,46,43,44+2,44+2,44+2,42+2,47+2,47+2,47+2,42+2,55+2,60+2,60+2,60+2,55+2,58+2,70,70,70,58+2,16+2
138026,/player/138026/davino-verhulst/240002,24.0,2.0,2023-09-22,D. Verhulst,Davino Verhulst,GK,65,65,80000.0,3000.0,35,1987-11-25,193,99,230.0,Antwerp,4.0,Jupiler Pro League,1.0,RES,87.0,,2022-07-01,2024.0,7,Belgium,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,120000.0,,,,,,,,,12,12,13,27,14,14,9,14,26,30,20,25,26,58,29,47,63,18,82,13,38,16,14,42,29,46.0,20,12,15,62,65,63,70,62,22.0,27+2,27+2,27+2,23,26,26,26,23,27+2,27+2,27+2,24+2,27+2,27+2,27+2,24+2,22+2,28+2,28+2,28+2,22+2,21+2,28+2,28+2,28+2,21+2,64+1
138412,/player/138412/james-milner/240002,24.0,2.0,2023-09-22,J. Milner,James Philip Milner,"CM, RB",77,77,3300000.0,52000.0,37,1986-01-04,175,70,1808.0,Brighton & Hove Albion,13.0,Premier League,1.0,SUB,6.0,,2023-07-01,2024.0,14,England,,,,Right,4,3,2,Medium/High,Stocky (170-185),Yes,6300000.0,,,53.0,70.0,79.0,76.0,76.0,75.0,82,62,65,79,76,76,81,75,78,79,54,52,62,83,72,82,67,77,70,70,86,78,71,76,89,80.0,77,78,78,12,9,10,8,6,,71+2,71+2,71+2,72,73,73,73,72,74+2,74+2,74+2,74+2,77,77,77,74+2,76+1,78-1,78-1,78-1,76+1,75+2,76+1,76+1,76+1,75+2,17+2
138431,/player/138431/richard-brush/240002,24.0,2.0,2023-09-22,R. Brush,Richard Brush,GK,56,56,15000.0,500.0,38,1984-11-26,185,86,563.0,Sligo Rovers,65.0,Premier Division,1.0,SUB,30.0,,2021-02-01,2023.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,23000.0,,,,,,,,,16,17,10,23,17,11,10,14,43,17,51,52,52,48,49,41,58,25,59,12,36,18,16,36,19,57.0,18,13,10,55,55,55,56,56,51.0,26+2,26+2,26+2,25,25,25,25,25,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,23+2,26+2,26+2,26+2,23+2,23+2,25+2,25+2,25+2,23+2,55+1
138830,/player/138830/dean-lewington/240002,24.0,2.0,2023-09-22,D. Lewington,Dean Scott Lewington,CB,65,65,130000.0,3000.0,39,1984-05-18,183,86,1798.0,Milton Keynes Dons,61.0,League Two,4.0,SUB,3.0,,2002-08-01,2024.0,14,England,,,,Left,3,2,1,High/Medium,Stocky (170-185),No,228000.0,,Long Ball Pass,32.0,38.0,61.0,57.0,64.0,76.0,66,28,60,62,18,53,59,64,59,57,33,32,67,67,55,51,64,80,78,47,68,63,52,54,38,68.0,65,66,62,7,12,16,14,14,,49+2,49+2,49+2,52,51,51,51,52,53+2,53+2,53+2,54+2,59+2,59+2,59+2,54+2,62+2,64+1,64+1,64+1,62+2,61+2,65,65,65,61+2,18+2
138949,/player/138949/antolin-alcaraz/240002,24.0,2.0,2023-09-22,A. Alcáraz,Antolín Alcáraz Viveros,CB,71,71,,500.0,40,1982-07-30,187,78,101108.0,Olimpia,337.0,Primera División,1.0,RES,21.0,,2019-05-23,2026.0,58,Paraguay,,,,Right,3,2,1,Low/High,Normal (185+),Yes,,,"Power Header, Slide Tackle",31.0,43.0,52.0,59.0,70.0,68.0,47,38,74,67,35,57,32,35,48,61,33,30,50,71,52,54,73,34,82,42,72,70,56,44,48,80.0,63,74,73,8,11,10,16,11,,55+2,55+2,55+2,52,54,54,54,52,54+2,54+2,54+2,52+2,57+2,57+2,57+2,52+2,58+2,64+2,64+2,64+2,58+2,60+2,71,71,71,60+2,18+2
138956,/player/138956/giorgio-chiellini/240002,24.0,2.0,2023-09-22,G. Chiellini,Giorgio Chiellini,CB,80,80,3800000.0,8000.0,38,1984-08-14,187,85,112996.0,Los Angeles FC,39.0,Major League Soccer,1.0,LCB,14.0,,2022-07-07,2023.0,27,Italy,,,,Left,3,2,4,Medium/High,Normal (185+),Yes,5700000.0,#Strength,"Power Header, Jockey, Slide Tackle, Bruiser, Long Throw",64.0,46.0,60.0,58.0,81.0,82.0,63,33,77,65,45,57,60,31,66,55,65,63,48,75,57,78,87,62,90,49,87,84,28,50,50,83.0,78,85,79,3,3,2,4,3,,56+3,56+3,56+3,54,54,54,54,54,54+3,54+3,54+3,57+3,60+3,60+3,60+3,57+3,70+3,73+3,73+3,73+3,70+3,73+3,80,80,80,73+3,11+3
139068,/player/139068/luis-carlos-almeida-da-cunha/240002,24.0,2.0,2023-09-22,Nani,Luís Carlos Almeida da Cunha,"LW, RW, CAM",73,73,1000000.0,11000.0,36,1986-11-17,177,72,101016.0,Adana Demirspor,68.0,Super Lig,1.0,SUB,30.0,,2023-07-13,2024.0,38,Portugal,,,,Right,5,4,3,Medium/Low,Lean (170-185),Yes,2000000.0,,"Technical, Flair, Trivela",68.0,73.0,75.0,78.0,34.0,70.0,76,70,64,74,77,80,83,78,72,76,73,64,81,62,79,79,77,63,74,75,69,31,69,77,70,79.0,41,22,20,5,10,13,6,6,,71+2,71+2,71+2,73,73,73,73,73,74-1,74-1,74-1,73,68+3,68+3,68+3,73,54+3,54+3,54+3,54+3,54+3,50+3,48+3,48+3,48+3,50+3,13+3
140233,/player/140233/guillermo-ochoa/240002,24.0,2.0,2023-09-22,G. Ochoa,Francisco Guillermo Ochoa Magaña,GK,81,81,2900000.0,21000.0,37,1985-07-13,185,78,110373.0,Salernitana,31.0,Serie A,1.0,GK,13.0,,2023-01-02,2025.0,83,Mexico,1386.0,GK,13.0,Right,3,1,1,Medium/Medium,Lean (170-185),Yes,5200000.0,,"Far Throw, Footwork",,,,,,,15,12,19,37,16,10,14,17,37,20,50,50,57,70,43,53,68,38,60,11,19,23,16,50,16,60.0,21,10,13,83,73,70,82,86,50.0,30+2,30+2,30+2,28,30,30,30,28,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,28+2,30+2,30+2,30+2,28+2,28+2,27+2,27+2,27+2,28+2,79+2
140293,/player/140293/antonio-mirante/240002,24.0,2.0,2023-09-22,A. Mirante,Antonio Mirante,GK,71,71,210000.0,14000.0,39,1983-07-08,193,79,47.0,Milan,31.0,Serie A,1.0,SUB,83.0,,2021-10-13,2024.0,27,Italy,,,,Right,2,1,2,Medium/Medium,Lean (185+),Yes,357000.0,,Footwork,,,,,,,10,17,13,35,15,24,17,13,35,25,44,43,50,70,50,49,59,33,55,15,32,17,10,43,21,70.0,10,12,12,67,71,65,75,70,44.0,30+2,30+2,30+2,29,31,31,31,29,32+2,32+2,32+2,30+2,32+2,32+2,32+2,30+2,26+2,29+2,29+2,29+2,26+2,25+2,25+2,25+2,25+2,25+2,70+1
140300,/player/140300/peter-cherrie/240002,24.0,2.0,2023-09-22,P. Cherrie,Peter Cherrie,GK,54,54,10000.0,500.0,39,1983-10-01,188,76,837.0,Dundalk,65.0,Premier Division,1.0,SUB,13.0,,2021-02-18,2023.0,42,Scotland,,,,Left,2,1,1,Medium/Medium,Normal (185+),No,16000.0,,Footwork,,,,,,,14,13,17,15,14,15,18,13,16,15,23,21,37,55,52,39,49,26,57,17,38,16,14,45,16,46.0,16,15,16,54,56,52,52,49,22.0,23+2,23+2,23+2,21,23,23,23,21,23+2,23+2,23+2,21+2,23+2,23+2,23+2,21+2,20+2,23+2,23+2,23+2,20+2,20+2,25+2,25+2,25+2,20+2,53+1
140498,/player/140498/david-marshall/240002,24.0,2.0,2023-09-22,D. Marshall,David Marshall,GK,68,68,130000.0,2000.0,38,1985-03-05,187,83,81.0,Hibernian,50.0,Premiership,1.0,GK,1.0,,2022-07-01,2024.0,42,Scotland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,228000.0,,,,,,,,,11,19,14,40,15,14,19,14,40,21,42,43,39,66,41,52,61,34,63,12,41,24,13,61,11,61.0,21,14,13,68,64,69,66,68,42.0,30+2,30+2,30+2,28,31,31,31,28,33+2,33+2,33+2,31+2,35+2,35+2,35+2,31+2,27+2,33+2,33+2,33+2,27+2,27+2,29+2,29+2,29+2,27+2,67+1
142499,/player/142499/aitor-sanz-martin/240002,24.0,2.0,2023-09-22,Aitor Sanz,Aitor Sanz Martín,"CDM, CM",71,71,375000.0,5000.0,38,1984-09-13,181,71,260.0,Tenerife,54.0,La Liga 2,2.0,SUB,16.0,,2013-07-01,2024.0,45,Spain,,,,Right,4,2,1,Medium/High,Normal (170-185),No,600000.0,,"Long Ball Pass, Tiki Taka, Press Proven",52.0,64.0,69.0,69.0,68.0,72.0,64,61,42,69,55,69,71,72,70,68,63,43,66,70,74,74,61,72,74,63,70,72,68,73,69,67.0,71,70,69,14,11,12,9,16,,63+2,63+2,63+2,66,66,66,66,66,67+2,67+2,67+2,66+2,70+1,70+1,70+1,66+2,67+2,70+1,70+1,70+1,67+2,66+2,67+2,67+2,67+2,66+2,19+2
142707,/player/142707/lisandro-lopez/240002,24.0,2.0,2023-09-22,L. López,Lisandro López,"ST, CAM, LW",71,71,,7000.0,40,1983-03-02,174,74,112713.0,Sarmiento,353.0,Liga Profesional,1.0,LS,7.0,,2022-01-03,2023.0,52,Argentina,,,,Right,4,4,2,Medium/Medium,Normal (170-185),Yes,,,Trivela,61.0,72.0,70.0,72.0,53.0,60.0,65,71,73,74,74,71,79,66,70,73,63,60,69,67,73,76,74,53,64,70,57,55,73,68,77,80.0,45,57,37,8,10,11,13,6,,71,71,71,69,71,71,71,69,70+1,70+1,70+1,68+2,68+2,68+2,68+2,68+2,59+2,61+2,61+2,61+2,59+2,58+2,58+2,58+2,58+2,58+2,16+2
142721,/player/142721/marcelo-barovero/240002,24.0,2.0,2023-09-22,M. Barovero,Marcelo Alberto Barovero,GK,70,70,180000.0,4000.0,39,1984-02-18,182,74,110404.0,Banfield,353.0,Liga Profesional,1.0,SUB,1.0,,2023-08-21,2024.0,52,Argentina,,,,Right,3,1,1,Medium/Medium,Lean (170-185),No,270000.0,,Far Throw,,,,,,,14,13,13,36,18,18,19,19,23,12,34,33,31,66,57,47,49,32,45,17,34,16,16,51,20,64.0,19,16,14,68,66,63,72,71,34.0,26+2,26+2,26+2,25,28,28,28,25,29+2,29+2,29+2,27+2,29+2,29+2,29+2,27+2,25+2,27+2,27+2,27+2,25+2,24+2,25+2,25+2,25+2,24+2,69+1
