club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,name,nationality,attribution
chelseafc,Chelsea FC,ENG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,12,2025-07-04,FIFA Club World Cup 2025,male,coach:chelseafc,MARESCA Enzo,Italy,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
crflamengo,CR Flamengo,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,13,2025-07-04,FIFA Club World Cup 2025,male,coach:crflamengo,FILIPE LUIS,Brazil,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
esperancedetunisie,Espérance De Tunisie,TUN,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,14,2025-07-04,FIFA Club World Cup 2025,male,coach:esperancedetunisie,KANZARI Maher,Tunisia,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
fcbayernmunchen,FC Bayern München,GER,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,15,2025-07-04,FIFA Club World Cup 2025,male,coach:fcbayernmunchen,KOMPANY Vincent,Belgium,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
fcinternazionalemilano,FC Internazionale Milano,ITA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,16,2025-07-04,FIFA Club World Cup 2025,male,coach:fcinternazionalemilano,CHIVU Cristian,Romania,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
fcporto,FC Porto,POR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,17,2025-07-04,FIFA Club World Cup 2025,male,coach:fcporto,ANSELMI Martin,Argentina,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
fcsalzburg,FC Salzburg,AUT,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,18,2025-07-04,FIFA Club World Cup 2025,male,coach:fcsalzburg,LETSCH Thomas,Germany,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
fluminensefc,Fluminense FC,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,19,2025-07-04,FIFA Club World Cup 2025,male,coach:fluminensefc,RENATO PORTALUPPI,Brazil,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
intermiamicf,Inter Miami CF,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,20,2025-07-04,FIFA Club World Cup 2025,male,coach:intermiamicf,MASCHERANO Javier,Argentina,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
juventusfc,Juventus FC,ITA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,21,2025-07-04,FIFA Club World Cup 2025,male,coach:juventusfc,TUDOR Igor,Croatia,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
lafc,LAFC,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,22,2025-07-04,FIFA Club World Cup 2025,male,coach:lafc,CHERUNDOLO Steve,USA,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
mamelodisundownsfc,Mamelodi Sundowns FC,RSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,23,2025-07-04,FIFA Club World Cup 2025,male,coach:mamelodisundownsfc,MIGUEL CARDOSO,Portugal,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
manchestercity,Manchester City,ENG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,24,2025-07-04,FIFA Club World Cup 2025,male,coach:manchestercity,GUARDIOLA Pep,Spain,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
palmeiras,Palmeiras,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,25,2025-07-04,FIFA Club World Cup 2025,male,coach:palmeiras,ABEL FERREIRA,Portugal,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
parissaintgermain,Paris Saint-Germain,FRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,26,2025-07-04,FIFA Club World Cup 2025,male,coach:parissaintgermain,ENRIQUE Luis,Spain,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
realmadridcf,Real Madrid C. F.,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,27,2025-07-04,FIFA Club World Cup 2025,male,coach:realmadridcf,ALONSO Xabi,Spain,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
seattlesoundersfc,Seattle Sounders FC,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,28,2025-07-04,FIFA Club World Cup 2025,male,coach:seattlesoundersfc,SCHMETZER Brian,USA,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
slbenfica,SL Benfica,POR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,29,2025-07-04,FIFA Club World Cup 2025,male,coach:slbenfica,BRUNO LAGE,Portugal,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
ulsanhd,Ulsan HD,KOR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,30,2025-07-04,FIFA Club World Cup 2025,male,coach:ulsanhd,KIM Pangon,Korea Republic,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
urawareddiamonds,Urawa Red Diamonds,JPN,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,31,2025-07-04,FIFA Club World Cup 2025,male,coach:urawareddiamonds,SKORZA Maciej,Poland,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
wydadac,Wydad AC,MAR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,32,2025-07-04,FIFA Club World Cup 2025,male,coach:wydadac,BENHACHEM Amine,Morocco,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
